Nr;Kategorie;Schwierigkeit;Frage;Antwort A;Antwort B;Antwort C;Antwort D;Korrekte Antwort(en);Erklärung
60;Betrieb, Health & Qualität;basis;Wofür ist Wartungs-Reminder gedacht?;Regelmäßige Checks wie Logo, Loyalty, MFA, Reports und Datenqualität anstoßen;Kunden öffentlich listen;Steuern berechnen;Cookies erzwingen;A;Wartung verhindert schleichende Fehler.
61;Betrieb, Health & Qualität;basis;Wofür sind Onboarding-Audits?;Neue Kunden systematisch auf Setup, Risiken und Chancen prüfen;Backups löschen;MFA deaktivieren;Ranking garantieren;A;Onboarding-Audit macht Start sauber und wiederholbar.
62;Betrieb, Health & Qualität;basis;Wofür sind Insights?;Übergreifende Auswertungen zu Compliance, CLV, Cohorts und Entwicklung;Nur ein Loginformular;Nur Newsletter;Nur QR-Codes;A;Insights bündeln Management-Perspektive.
63;Betrieb, Health & Qualität;fortgeschritten;Wofür ist Growth Command?;Wachstum und mehrere Geschäftsbereiche zentral steuern;Passwörter resetten;Storage-Buckets löschen;Nur Instagram-Posts planen;A;Growth Command ist die strategische Steuerzentrale.
64;Betrieb, Health & Qualität;basis;Wofür ist der Einrichtungs-Assistent?;Geführtes Setup für Branding, QR, Loyalty und Kundengrundlagen;Google Bewertungen kaufen;Adminlogs löschen;Bankdaten abrufen;A;Onboarding-Assistent macht Einrichtung reproduzierbar.
65;Betrieb, Health & Qualität;basis;Wofür ist Datenqualität gedacht?;Dubletten, fehlerhafte E-Mails und inkonsistente Daten erkennen;Sentry ausschalten;Google Ranking garantieren;PDFs signieren;A;Gute Datenqualität verhindert Folgefehler.
66;Betrieb, Health & Qualität;basis;Wofür sind Demo-Daten?;Vorführungen und Tests ohne echte Kundendaten ermöglichen;Echte Kundendaten veröffentlichen;Backups ersetzen;AVV löschen;A;Demo-Daten sind wichtig für sichere Präsentationen.
67;Betrieb, Health & Qualität;fortgeschritten;Wofür ist API-Kostenkontrolle?;Tages-/Monatslimits und Kostenereignisse überwachen;MFA entfernen;Logo skalieren;CRM löschen;A;Kostenkontrolle schützt vor Überraschungen.
68;Betrieb, Health & Qualität;fortgeschritten;Warum sind Background Jobs sinnvoll?;Lange Prozesse wie PDFs/Audits/Reports laufen stabiler und nachvollziehbar;Jeder Kunde wird Admin;Alle Daten werden öffentlich;Backups werden unnötig;A;Jobs vermeiden Timeouts und zeigen Status.
69;Betrieb, Health & Qualität;fortgeschritten;Was verhindert Idempotency?;Doppelte Dokumente/Jobs durch Doppelklicks oder Retries;Login;Google Places;Consent-Banner;A;Idempotency schützt vor Duplikaten.
70;Datenschutz & Sicherheit;basis;Wofür ist das DSGVO-Cockpit?;Datenschutzrelevante Prozesse, Auskünfte, Löschung und Nachweise bündeln;Kunden bewerten;Social Posts erstellen;Kassenbons drucken;A;DSGVO-Cockpit unterstützt Datenschutzprozesse.
71;Datenschutz & Sicherheit;basis;Wofür ist Sicherheit & 2FA?;Logins schützen und Identität zusätzlich absichern;Google Ranking garantieren;PDFs rendern;Rechnungen exportieren;A;2FA erhöht Zugriffssicherheit.
72;Datenschutz & Sicherheit;basis;Wofür ist API-Keys-Verwaltung?;Externe Zugriffe kontrolliert verwalten und begrenzen;Kunden öffentlich machen;MFA deaktivieren;CRM löschen;A;API-Keys brauchen Kontrolle, Rechte und Protokollierung.
73;Datenschutz & Sicherheit;basis;Wann darf clientseitiges Analyse-/Fehlertracking laufen?;Nach passender Einwilligung, sofern nicht technisch notwendig begründet;Immer ohne Hinweis;Nur bei Premiumkunden;Sobald Google Maps aktiviert ist;A;Clientseitiges Tracking ist consent-sensibel.
74;Datenschutz & Sicherheit;fortgeschritten;Was ist bei Backend-Sentry wichtig?;Datenminimierung/Redaction und Nennung in der Datenschutzerklärung;Alle Bodies ungefiltert senden;AV-Verträge ersetzen;Kunden Adminzugang geben;A;Backend-Monitoring muss datensparsam und dokumentiert sein.
75;Datenschutz & Sicherheit;fortgeschritten;Warum sind Admin-Protokolle wichtig?;Nachvollziehbarkeit kritischer Aktionen;Öffentliche Kundenwerbung;Backups ersetzen;Passwörter speichern;A;Logs helfen bei Sicherheit, Support und Rechenschaft.
76;Datenschutz & Sicherheit;basis;Was gehört zum Backup-/Restore-Konzept?;Regelmäßige Backups, getesteter Restore, Protokolle und Aufbewahrungsfristen;Screenshots statt Dumps;Unbegrenzte öffentliche Backups;Nur einmal jährlich;A;Backup ist nur vollständig, wenn Restore möglich und geprüft ist.
77;Datenschutz & Sicherheit;fortgeschritten;Was bedeutet Least Privilege?;Jeder Nutzer bekommt nur die Rechte, die er wirklich braucht;Alle Nutzer bekommen Adminrechte;Alle Daten werden öffentlich;Nur Kunden sehen Logs;A;Minimale Rechte reduzieren Risiko.
78;Datenschutz & Sicherheit;basis;Welche Unterlagen sind datenschutzrechtlich wichtig?;Datenschutzerklärung, AV-Verträge, Subunternehmerliste, Löschkonzept, VVT;Nur Logo;Nur Preisliste;Nur Instagram-Bio;A;Technik braucht rechtliche Dokumentation.
